Week_Start,Week_End,Season,Number_dry_days_week
2024-03-16,2024-03-22,spring,6
2024-03-23,2024-03-29,spring,6
2024-03-30,2024-04-05,spring,6
2024-04-06,2024-04-12,spring,3
2024-04-13,2024-04-19,spring,3
2024-04-20,2024-04-26,spring,3
2024-06-15,2024-06-21,summer,2
2024-06-22,2024-06-27,summer,3
2024-06-29,2024-07-05,summer,2
2024-07-06,2024-07-12,summer,4
2024-07-13,2024-07-19,summer,2
2024-07-20,2024-07-26,summer,5
